"parent","child","instanceName","symbolType"
"RefLayerMenuSet","refLayerMenuChild/refClearImageButton","refClearImageButton","button"
"replayRepeatButton","topMenuChild/topMenuButton","","button"
"replayRepeatButton","repeatIcon","","graphic"
"replayRotate","topMenuChild/topMenuButton","","button"
"replayRotate","lassoChild/rotateIcon2","","graphic"
"replayTimeBar","topMenuChild/pauseButton","pauseButton","button"
"replayTimeBar","topMenuChild/playButton","playButton","button"
"replayTimeBar","topMenuChild/replayTimeOneFrame","replayNext","button"
"replayTimeBar","topMenuChild/replayTimeOneFrame copy","replayPrev","button"
"ReplayTimelineSet","topMenuChild/pauseButton","pauseButton","button"
"ReplayTimelineSet","topMenuChild/playButton","playButton","button"
"ReplayTimelineSet","topMenuChild/replayTimeOneFrame","replayNext","button"
"ReplayTimelineSet","topMenuChild/replayTimeOneFrame copy","replayPrev","button"
"rotateCursor","rotateCursorChild/rotateArrow","rotateArrow","button"
"rotateCursor","rotateCursorChild/rotateBG","rotateBG","button"
"rotateCursor","rotateCursorChild/rotateCircle","rotateCircle","button"
"RotateCursorSet","rotateCursorChild/rotateArrow","rotateArrow","button"
"RotateCursorSet","rotateCursorChild/rotateBG","rotateBG","button"
"RotateCursorSet","rotateCursorChild/rotateCircle","rotateCircle","button"
"seekBarSet","topMenuChild/pauseButton","pauseButton","button"
"seekBarSet","topMenuChild/playButton","playButton","button"
"seekBarSet","topMenuChild/replayTimeOneFrame","replayNext","button"
"seekBarSet","topMenuChild/replayTimeOneFrame copy","replayPrev","button"
"sideBarOnButton","topMenuChild/topMenuButton","","button"
"sideBarOnButton","sideBarONIcon","side","button"
"sideBarONButton2","topMenuChild/topMenuButton","","button"
"sideBarONButton2","sideBarONIcon","side","button"
"sideBarVisibleButton","topMenuChild/topMenuButton","","button"
"sideBarVisibleButton","sidebarVisibleIcon","","graphic"
"sideBarVisibleButton2","topMenuChild/topMenuButton","","button"
"sideBarVisibleButton2","sidebarVisibleIcon","","graphic"
"subLayerText copy","layerOptionsBG","","graphic"
"subLayerText copy","layer2TextIcon","","graphic"
"subLayerText copy","layerOptionsBG","","graphic"
"subLayerText copy","layer2TextIcon","","graphic"
"subLayerText copy","layerOptionsBG","","graphic"
